"Rank","StoreIndex","MappingIndex","Name","Bytes","MiB","Family","ProposedVerdict","Reason","ProofGate"
"15","20","10","Microsoft.VisualBasic.Core.dll","1337168","1.275","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"16","212","106","System.Reflection.Metadata.dll","1275688","1.217","LANGUAGE_RUNTIME","CORE_EMIT","Metadata inspection and mechanical assembly emission are explicit product capabilities.","Read symbols/metadata and emit an audited bootstrap or payload without Roslyn."
"17","440","220","System.Private.Windows.Core.dll","1204520","1.149","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"18","34","17","System.Collections.Immutable.dll","1176360","1.122","LANGUAGE_RUNTIME","KEEP_IF_CLOSURE","Common metadata/AST dependency; keep when required by the proven compiler closure.","Static closure plus AST and metadata emit smoke."
"19","300","150","System.Text.RegularExpressions.dll","1156392","1.103","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"20","138","69","System.Linq.Parallel.dll","1010512","0.964","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"21","426","213","System.Data.SqlClient.dll","958736","0.914","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"22","0","0","Microsoft.CSharp.dll","883496","0.843","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"23","50","25","System.ComponentModel.TypeConverter.dll","865104","0.825","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"24","290","145","System.Text.Encoding.CodePages.dll","864552","0.825","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"25","142","71","System.Linq.dll","845608","0.806","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"26","398","199","Microsoft.PowerShell.Commands.Utility.dll","827192","0.789","PWSH_COMMANDS","OPTIONAL_PWSH","Command assembly, not the SMA/runspace core.","Load on demand; representative commands and unload/failure behavior."
"27","108","54","System.IO.Compression.dll","750928","0.716","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"28","412","206","Newtonsoft.Json.dll","723368","0.69","SMA_DEPENDENCY","UNPROVEN_SMA_DEP","Declared stock SMA dependency; actual Android requirement must be proven.","Runspace/parser/serialization/remoting-format receipts without/with it."
"29","172","86","System.Net.Sockets.dll","697128","0.665","NETWORK","CORE_SERVE","Direct client/server sockets are the minimal no-framework serving substrate.","Bind loopback, accept a connection, exchange bytes, and tear down cleanly."
"30","166","83","System.Net.Security.dll","685864","0.654","NETWORK","CORE_SERVE","TLS must remain available to emitted and scripted services.","Complete an authenticated local TLS exchange on Android."
"31","534","267","ru/Microsoft.CodeAnalysis.CSharp.resources.dll","629512","0.6","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"32","152","76","System.Net.Mail.dll","626984","0.598","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"33","70","35","System.Diagnostics.DiagnosticSource.dll","568656","0.542","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"34","308","154","System.Threading.Tasks.Dataflow.dll","526632","0.502","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"35","526","263","ja/Microsoft.CodeAnalysis.CSharp.resources.dll","521488","0.497","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"36","244","122","System.Runtime.Numerics.dll","504104","0.481","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"37","382","191","Markdig.Signed.dll","489984","0.467","PWSH_AUXILIARY","REMOVE_OR_OPTIONAL","Help/markdown/schema convenience cargo.","Core help, formatting, and console receipts without it."
"38","522","261","fr/Microsoft.CodeAnalysis.CSharp.resources.dll","480016","0.458","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"39","530","265","pl/Microsoft.CodeAnalysis.CSharp.resources.dll","479536","0.457","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"40","528","264","ko/Microsoft.CodeAnalysis.CSharp.resources.dll","477968","0.456","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"41","518","259","de/Microsoft.CodeAnalysis.CSharp.resources.dll","476936","0.455","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"42","94","47","System.Formats.Tar.dll","474408","0.452","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"43","524","262","it/Microsoft.CodeAnalysis.CSharp.resources.dll","472848","0.451","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"44","520","260","es/Microsoft.CodeAnalysis.CSharp.resources.dll","466704","0.445","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"45","532","266","pt-BR/Microsoft.CodeAnalysis.CSharp.resources.dll","458512","0.437","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"46","536","268","tr/Microsoft.CodeAnalysis.CSharp.resources.dll","453392","0.432","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"47","516","258","cs/Microsoft.CodeAnalysis.CSharp.resources.dll","446216","0.426","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"48","420","210","System.Configuration.ConfigurationManager.dll","445224","0.425","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"49","74","37","System.Diagnostics.Process.dll","442152","0.422","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"50","198","99","System.Private.Xml.Linq.dll","440104","0.42","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"51","438","219","System.Drawing.Common.dll","421672","0.402","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"52","396","198","Microsoft.PowerShell.Commands.Management.dll","419128","0.4","PWSH_COMMANDS","OPTIONAL_PWSH","Command assembly, not the SMA/runspace core.","Load on demand; representative commands and unload/failure behavior."
"53","164","82","System.Net.Requests.dll","412456","0.393","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"54","538","269","zh-Hans/Microsoft.CodeAnalysis.CSharp.resources.dll","404232","0.386","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"55","540","270","zh-Hant/Microsoft.CodeAnalysis.CSharp.resources.dll","404232","0.386","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"56","162","81","System.Net.Quic.dll","393000","0.375","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"57","324","162","System.Transactions.Local.dll","391464","0.373","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"58","384","192","Microsoft.ApplicationInsights.dll","386080","0.368","TELEMETRY","REMOVE","Azure/Application Insights telemetry dependency.","Boot and SMA receipts with assembly absent."
"59","486","243","System.Web.Services.Description.dll","385080","0.367","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"60","374","187","Humanizer.dll","355944","0.339","PWSH_AUXILIARY","REMOVE_OR_OPTIONAL","Help/markdown/schema convenience cargo.","Core help, formatting, and console receipts without it."
"61","208","104","System.Reflection.Emit.dll","341800","0.326","LANGUAGE_RUNTIME","CORE_EMIT","Direct IL and dynamic-method emission are non-negotiable; Roslyn is not required.","Emit a typed method, let RyuJIT compile it, invoke it, and verify the result."
"62","40","20","System.Collections.dll","324392","0.309","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"63","150","75","System.Net.HttpListener.dll","324392","0.309","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"64","380","190","JsonSchema.Net.dll","311808","0.297","PWSH_AUXILIARY","REMOVE_OR_OPTIONAL","Help/markdown/schema convenience cargo.","Core help, formatting, and console receipts without it."
"65","484","242","System.Speech.dll","311592","0.297","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"66","400","200","Microsoft.PowerShell.ConsoleHost.dll","303928","0.29","PWSH_HOST","REMOVE","Desktop/full-SDK hosting personality; Android console owns session and cells.","SMA-managed console and optional pwsh personality operate without it."
"67","458","229","System.Security.Cryptography.Pkcs.dll","303440","0.289","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"68","416","208","System.ComponentModel.Composition.dll","297296","0.284","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"69","422","211","System.Data.Odbc.dll","297256","0.283","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"70","638","319","ru/System.ServiceModel.Primitives.resources.dll","292888","0.279","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"71","362","181","Java.Interop.dll","268136","0.256","ANDROID_PLATFORM","ANDROID_PLATFORM","Android framework binding/interop substrate.","Boot, lifecycle, Binder, Surface, IME, and recovery receipts."
"72","42","21","System.ComponentModel.Annotations.dll","262992","0.251","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"73","92","46","System.Formats.Asn1.dll","262952","0.251","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"74","182","91","System.Net.WebSockets.dll","261968","0.25","NETWORK","CORE_SERVE","Object-aware console and remote surfaces need a duplex browser-friendly transport.","Serve or accept a WebSocket and exchange framed console data."
"75","196","98","System.Private.Uri.dll","259408","0.247","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"76","630","315","ja/System.ServiceModel.Primitives.resources.dll","251976","0.24","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"77","160","80","System.Net.Primitives.dll","248616","0.237","NETWORK","CORE_SERVE","Foundational networking contracts for direct clients and servers.","Satisfied by socket, HTTP, TLS, and WebSocket proof lanes."
"78","394","197","Microsoft.Management.Infrastructure.dll","228392","0.218","THIRD_PARTY_OR_APP","UNPROVEN","Not yet assigned to a lawful Android capability.","Identify owner and execute isolated removal receipt."
"79","622","311","de/System.ServiceModel.Primitives.resources.dll","223304","0.213","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"80","626","313","fr/System.ServiceModel.Primitives.resources.dll","222752","0.212","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"81","140","70","System.Linq.Queryable.dll","222504","0.212","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"82","632","316","ko/System.ServiceModel.Primitives.resources.dll","222280","0.212","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"83","634","317","pl/System.ServiceModel.Primitives.resources.dll","222272","0.212","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"84","628","314","it/System.ServiceModel.Primitives.resources.dll","217112","0.207","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"85","624","312","es/System.ServiceModel.Primitives.resources.dll","215112","0.205","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"86","636","318","pt-BR/System.ServiceModel.Primitives.resources.dll","213024","0.203","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"87","124","62","System.IO.Pipelines.dll","209192","0.2","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"88","620","310","cs/System.ServiceModel.Primitives.resources.dll","208968","0.199","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"89","640","320","tr/System.ServiceModel.Primitives.resources.dll","208416","0.199","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"90","462","231","System.Security.Cryptography.Xml.dll","206120","0.197","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"91","466","233","System.ServiceModel.Http.dll","204872","0.195","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"92","468","234","System.ServiceModel.NetFramingBase.dll","199240","0.19","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"93","16","8","Microsoft.Extensions.Options.dll","188240","0.18","THIRD_PARTY_OR_APP","UNPROVEN","Not yet assigned to a lawful Android capability.","Identify owner and execute isolated removal receipt."
"94","436","218","System.DirectoryServices.Protocols.dll","186664","0.178","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"95","644","322","zh-Hant/System.ServiceModel.Primitives.resources.dll","186400","0.178","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"96","406","203","Microsoft.PowerShell.Security.dll","186168","0.178","PWSH_COMMANDS","OPTIONAL_PWSH","Command assembly, not the SMA/runspace core.","Load on demand; representative commands and unload/failure behavior."
"97","642","321","zh-Hans/System.ServiceModel.Primitives.resources.dll","185376","0.177","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"98","414","207","System.CodeDom.dll","184616","0.176","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"99","144","72","System.Memory.dll","181544","0.173","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"100","174","87","System.Net.WebClient.dll","173864","0.166","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"101","154","77","System.Net.NameResolution.dll","170792","0.163","NETWORK","CORE_NETWORK","Device discovery and CDN access require name resolution.","Resolve loopback and a configured remote endpoint on Android."
"102","442","221","System.Private.Windows.GdiPlus.dll","168744","0.161","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"103","304","152","System.Threading.Channels.dll","165160","0.158","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"104","444","222","System.IO.Packaging.dll","160040","0.153","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"105","14","7","Microsoft.Extensions.Logging.Abstractions.dll","159528","0.152","THIRD_PARTY_OR_APP","UNPROVEN","Not yet assigned to a lawful Android capability.","Identify owner and execute isolated removal receipt."
"106","6","3","Microsoft.Extensions.DependencyInjection.Abstractions.dll","157008","0.15","THIRD_PARTY_OR_APP","UNPROVEN","Not yet assigned to a lawful Android capability.","Identify owner and execute isolated removal receipt."
"107","82","41","System.Diagnostics.TraceSource.dll","150352","0.143","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"108","106","53","System.IO.Compression.ZipFile.dll","149800","0.143","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"109","128","64","System.IO.Pipes.dll","147280","0.14","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"110","32","16","System.Collections.Concurrent.dll","145704","0.139","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"111","116","58","System.IO.FileSystem.Watcher.dll","139560","0.133","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"112","404","202","Microsoft.PowerShell.SDK.dll","136544","0.13","PWSH_HOST","REMOVE","Desktop/full-SDK hosting personality; Android console owns session and cells.","SMA-managed console and optional pwsh personality operate without it."
"113","312","156","System.Threading.Tasks.Parallel.dll","133416","0.127","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"114","432","216","System.DirectoryServices.dll","130344","0.124","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"115","146","73","System.Net.Http.Json.dll","127784","0.122","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"116","246","123","System.Runtime.Serialization.Formatters.dll","127272","0.121","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"117","86","43","System.Drawing.Primitives.dll","126760","0.121","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"118","424","212","System.Data.OleDb.dll","124712","0.119","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"119","296","148","System.Text.Encodings.Web.dll","122704","0.117","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"120","480","240","System.ServiceModel.Syndication.dll","121168","0.116","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"121","464","232","System.Security.Permissions.dll","118568","0.113","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"122","158","79","System.Net.Ping.dll","116008","0.111","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"123","156","78","System.Net.NetworkInformation.dll","113448","0.108","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"124","238","119","System.Runtime.InteropServices.dll","109904","0.105","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"125","38","19","System.Collections.Specialized.dll","104272","0.099","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"126","36","18","System.Collections.NonGeneric.dll","103720","0.099","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"127","360","180","netstandard.dll","101160","0.096","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"128","260","130","System.Security.Claims.dll","101160","0.096","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"129","180","90","System.Net.WebSockets.Client.dll","98600","0.094","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"130","122","61","System.IO.MemoryMappedFiles.dll","93480","0.089","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"131","112","56","System.IO.FileSystem.DriveInfo.dll","91944","0.088","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"132","456","228","System.Runtime.Caching.dll","90408","0.086","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"133","18","9","Microsoft.Extensions.Primitives.dll","89896","0.086","THIRD_PARTY_OR_APP","UNPROVEN","Not yet assigned to a lawful Android capability.","Identify owner and execute isolated removal receipt."
"134","56","28","System.Console.dll","87336","0.083","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"135","364","182","Mono.Android.Export.dll","83808","0.08","ANDROID_PLATFORM","ANDROID_PLATFORM","Android framework binding/interop substrate.","Boot, lifecycle, Binder, Surface, IME, and recovery receipts."
"136","454","227","System.Reflection.Context.dll","83752","0.08","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"137","102","51","System.IO.Compression.Brotli.dll","82768","0.079","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"138","120","60","System.IO.IsolatedStorage.dll","81704","0.078","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"139","2","1","Microsoft.Extensions.Caching.Abstractions.dll","81232","0.077","THIRD_PARTY_OR_APP","UNPROVEN","Not yet assigned to a lawful Android capability.","Identify owner and execute isolated removal receipt."
"140","322","161","System.Threading.dll","80680","0.077","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"141","48","24","System.ComponentModel.Primitives.dll","78672","0.075","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"142","168","84","System.Net.ServerSentEvents.dll","78120","0.075","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
